date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:36:43	9799/9799	---MCZ	200	added ('OK')	text/css	etag:W/%225c85fcd2-2647%22	https://ligaciputra138wanderer.com/assets/css/formValidation.min.css	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/css/formValidation.min.css	(from https://ligaciputra138wanderer.com/register)
00:36:44	415/415	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:43%20GMT	https://ligaciputra138wanderer.com/language/en	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/language/en	(from https://ligaciputra138wanderer.com/register)
00:36:44	415/415	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:44%20GMT	https://ligaciputra138wanderer.com/language/id	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/language/id	(from https://ligaciputra138wanderer.com/register)
00:36:44	415/415	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:44%20GMT	https://ligaciputra138wanderer.com/language/vn	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/language/vn	(from https://ligaciputra138wanderer.com/register)
00:36:44	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:44%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/register)
00:36:45	2541/2541	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Oct%202022%2017:36:44%20GMT	https://ligaciputra138wanderer.com/captcha/flat?xHgcaEii	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/captcha/flat36fb.png	(from https://ligaciputra138wanderer.com/register)
00:36:45	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:45%20GMT	https://ligaciputra138wanderer.com/off/level	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/off/level	(from https://ligaciputra138wanderer.com/register)
00:36:45	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:45%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/register)
00:36:45	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:45%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/register)
00:36:45	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:45%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/register)
